# This file contains the commands, arguments and flags for the
# ImageJ Macro 'FilterTester'.
#
# Version 2012-Dec-23 for ImageJ 1.47g
#
# The lines contain (semicolon-delimited):
#    command-string; options-string; flags; results
# The strings should not be enclosed in quotes; command-string must not contain
#   additional whitespace (spaces, tabs, etc.)
# Flags are bitwise OR of bits:
#   bit 0 (1)  - do on 8-bit image
#   bit 1 (2)  - do on 16-bit image
#   bit 2 (4)  - do on 32-bit image
#   bit 3 (8)  - do on RGB image
#   bit 4 (16) - do on binary image
#   bit 5 (32) - do on stacks of the types defined previously
#   bit 6 (64) - command creates a separate output image (no stack) that should be measured
#   bit 7 (128) - disable anisotropy tests (if filtering is not isotropic, but works differently
#                when rotated/flipped, e.g. "Shadow" filters).
#   bit 8 (256) - disable Undo test
#
# The results are comma-delimited; mean, min, max for each type of selection and data file type
# With the FilterTester in learning mode (with writeResults = true), the results of the
# tests are written (or overwritten) as further arguments in each line.
#
# Lines starting with a character less than '0' (e.g., '#', "!") are comments.
#
Smooth; ;47;63.34,15,195,63.4025,15,195,63.8475,15,254,147.7075,35,454,147.8475,35,454,148.9225,35,593,4.9078,1.1545,15.1183,4.9123,1.1545,15.1183,4.9481,1.1545,19.7359,202.2975,93,243,202.25,93,243,201.86,46,243,
Find Edges; ;47;97.3375,0,255,95.255,0,255,89.41,0,255,241.695,0,1055,236.715,0,1055,215.8125,0,1000,8.0611,0,35.1372,7.8932,0,35.1372,7.1866,0,33.3,83.175,0,255,96.3925,0,255,151.23,0,255,
Northeast; ;175;95.9125,0,255,92.39,0,255,76.1125,0,255,244.3575,0,1055,233.09,0,1055,178.355,0,672,7.8666,-30.2141,35.1205,7.5429,-30.2141,35.1205,5.7834,-30.2141,22.3666,172.3375,0,255,175.6825,0,255,191.4925,24,255,
Gamma...;value=3.3;47;10.29,0,251,15.7625,0,251,42.9475,0,254,176.585,1,4183,181.9775,1,4183,139.3975,1,1656,794.5705,0.2084,18808.2285,756.9531,0.2084,18808.2285,206.6322,0.2084,7451.2021,133.8925,4,233,141.1425,4,233,175.19,14,233,
# Flip operations are not undoable because flipping twice is undo
Flip Horizontally; ;431;89.56,16,208,100.04,8,232,84.8,8,232,208.9675,37,485,233.3975,19,541,197.8325,19,541,6.9476,1.2211,16.1395,7.7611,0.6217,18.0043,6.5768,0.6217,18.0043,180.3725,82,242,171.6625,62,248,184.3675,62,248,
Flip Vertically; ;431;117.52,32,216,66.0975,1,254,62.8625,1,200,274.225,75,504,154.1875,2,593,146.615,2,467,9.1207,2.4865,16.7722,5.1234,0.0556,19.7359,4.8713,0.0556,15.5401,157.055,75,228,199.965,46,254,202.6775,88,254,
#
# Subtract Background should be isotropic (flag 43: 8bit16bit|RGB|stack|), but not with sufficient accuracy, thus flag 171
Subtract Background...;rolling=20 light;171;40.3325,0,232,40.3325,0,232,40.3325,0,232,95.6675,0,541,95.6675,0,541,95.6675,0,541,215.45,51,253,215.45,51,253,215.45,51,253,
