 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1102,55.964609800,20.283047507,54,20,125,19.754990926,12.542649728,20.731316784,12.860806187,150.911688245,0,0,52,33,51.203829198,27.402442362,20.084051214,0.608058975,61.587336361,61673.000000000,53,1.060730515,1.305362112,100,61673.000000000,0,33,32.399840174,32.152437247,1.868586330,0.535163928,0.962865880
2,125,99.744000000,19.771233584,106,47,125,87.956000000,3.652000000,87.332370869,3.692572987,53.455844123,78,0,23,9,20.923419170,7.606545651,11.338390838,0.549704754,23.769728648,12468.000000000,106,-0.948267713,0.031939175,100,12468.000000000,78,6,14.620873989,9.000000000,2.750712364,0.363542191,0.868055556
3,563,79.083481350,23.654808348,77,17,125,115.880106572,8.615452931,114.771651244,8.841343994,155.639610307,88,0,66,22,59.554005069,12.036702869,16.867616476,0.292063973,68.680419335,44524.000000000,77,0.058130436,-0.800060429,100,44524.000000000,88,19,16.059987307,17.072597523,4.947700854,0.202114079,0.711307644
4,43,109.627906977,11.107747738,117,81,125,224.290697674,1.872093023,224.320746712,1.926601612,33.556349186,218,0,15,5,13.845984128,3.954164610,10.333257338,0.479875867,15.524174696,4714.000000000,108,-0.397541264,-0.564200885,100,4714.000000000,218,4,14.931417178,5.000000000,3.501620568,0.285582056,0.811320755
5,101,78.990099010,20.274858840,81,41,125,308.292079208,3.034653465,308.236149411,3.237528203,46.627416998,299,0,20,8,17.338069899,7.417042079,4.687229477,0.583779073,20.024984395,7978.000000000,77,0.320368126,-0.508863758,100,7978.000000000,299,0,177.137594774,8.000000000,2.337598967,0.427789375,0.874458874
6,196,87.602040816,18.126190031,104,46,125,346.846938776,5.025510204,346.344379732,5.264472918,64.526911935,334,0,25,11,24.507410888,10.182836200,10.059226975,0.591540075,27.313000567,17170.000000000,89,-0.018774094,-0.867787492,100,17170.000000000,334,11,23.749494493,10.723245101,2.406737220,0.415500285,0.888888889
7,14964,82.933974873,18.026792062,83,0,125,468.633119487,44.301122694,465.799444652,43.059648323,557.345237792,378,0,192,107,179.480852790,106.154814016,5.564475908,0.605353384,197.648678215,1241024.000000000,83,-0.413209242,0.584549656,100,1241024.000000000,383,64,18.893305281,107.000000000,1.690746241,0.591454812,0.949281568
8,1714,75.056592765,25.692345558,60,3,125,174.217036173,41.349474912,176.513641982,40.057113652,373.546247918,96,6,153,71,175.137584799,12.460675315,23.648813300,0.154358989,167.430582631,128647.000000000,74,0.019386017,-0.796795408,100,128647.000000000,96,75,23.962488975,16.750482709,14.055224165,0.071147923,0.746353146
9,186,90.752688172,18.577903710,106,46,125,180.430107527,17.849462366,180.108590047,17.925118483,77.254833996,164,10,32,16,34.147228054,6.935337619,24.265961050,0.391625968,34.928498393,16880.000000000,93,-0.236424309,-0.780938050,100,16880.000000000,164,25,23.629377731,8.051870519,4.923657640,0.203101043,0.841628959
10,193,66.430051813,29.035296919,30,0,125,590.562176166,17.955958549,589.802550503,18.031627798,60.627416998,581,10,19,15,21.924557671,11.208218465,17.824312436,0.659825418,23.600847442,12821.000000000,65,0.017375623,-0.744504981,100,12821.000000000,581,24,36.384351816,11.918645344,1.956114412,0.511217541,0.865470852
11,191,76.989528796,20.869769002,79,30,125,273.463350785,21.410994764,273.356919415,21.209146549,53.698484810,263,15,21,12,20.887214798,11.642947870,4.084490270,0.832375269,21.377558326,14705.000000000,73,0.374351579,-0.480737094,100,14705.000000000,263,23,10.784297868,12.000000000,1.793979929,0.557419837,0.922705314
12,1398,81.724606581,23.418097327,60,3,125,252.891273247,51.231759657,253.682641727,50.749905909,351.989898732,178,17,143,67,159.507209823,11.159300482,22.730428883,0.141793602,155.077400030,114251.000000000,81,-0.104959491,-0.493701394,100,114251.000000000,178,80,22.761967284,18.066940477,14.293656674,0.069961104,0.546948357
13,1045,71.429665072,25.422636012,60,1,125,118.295215311,38.165071770,118.264160549,37.758279299,180.551298552,82,18,70,40,80.059055100,16.619423282,25.534314876,0.402832890,77.388629656,74644.000000000,68,0.328430712,-0.595832322,100,74644.000000000,82,54,25.240529265,19.103726310,4.817198151,0.207589551,0.860082305
14,1,123.000000000,0.000000000,123,123,123,89.500000000,22.500000000,89.500000000,22.500000000,2.828427125,89,22,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,89,22,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
15,509,82.013752456,17.049193745,79,37,125,347.114931238,34.804518664,347.266151635,34.647945862,86.325901808,333,22,27,26,28.502401466,22.737695596,44.058146198,0.858312423,30.528675045,41745.000000000,81,0.175121449,-0.073181198,100,41745.000000000,333,41,31.607502246,23.807659064,1.253530787,0.797746661,0.933088909
16,43055,38.986854024,25.538627651,38,0,125,86.293821856,252.447787713,104.757228287,247.489632898,2223.523086790,0,26,467,386,284.263887055,192.846615750,114.754721888,0.109433470,520.566038078,1678579.000000000,37,0.939293573,1.108298188,100,1678579.000000000,0,42,153.779506917,383.702346488,1.474041356,0.678407017,0.362550103
17,1,123.000000000,0.000000000,123,123,123,253.500000000,29.500000000,253.500000000,29.500000000,2.828427125,253,29,1,1,1.128379167,1.128379167,0.000000000,1.000000000,1.414213562,123.000000000,123,NaN,NaN,100,123.000000000,253,29,135.000000000,1.000000000,1.000000000,1.000000000,1.000000000
18,664,74.509036145,30.021659998,106,0,125,220.081325301,46.594879518,219.887840078,46.416056919,157.195959493,186,32,63,28,63.188481643,13.379512147,23.759696170,0.337672105,68.541957953,49474.000000000,76,-0.475040547,-0.230837426,100,49474.000000000,186,60,23.198590514,16.994723920,4.722779198,0.211739732,0.838913455
19,13,117.615384615,4.369181112,120,109,123,255.884615385,36.500000000,255.905493787,36.513734467,18.142135624,253,34,7,5,6.242218704,2.651639564,148.328881357,0.496336710,8.062257748,1529.000000000,119,-0.665486858,-0.680525555,100,1529.000000000,253,34,150.255118703,4.289524976,2.354097740,0.424791198,0.577777778
20,2,120.500000000,0.707106781,120,120,121,255.000000000,40.500000000,254.997925311,40.500000000,4.242640687,254,40,2,1,2.256758334,1.128379167,0.000000000,1.000000000,2.236067977,241.000000000,121,0.000000000,-2.000000000,100,241.000000000,254,40,153.434948823,1.000000000,2.000000000,0.500000000,1.000000000
21,2069,73.358627356,25.957206064,79,0,125,230.293620106,83.747462542,231.881897364,82.926185441,423.002092041,143,41,175,81,190.144186757,13.854394725,22.976530598,0.145306594,191.595928976,151779.000000000,72,-0.055483983,-0.394796051,100,151779.000000000,143,119,24.023215798,18.991590276,13.724467256,0.072862573,0.737348539
